2026/04/19 12:36:09.996, 69511 MiB, 81559 MiB, 72 %, 454.17 W
2026/04/19 12:36:11.024, 69511 MiB, 81559 MiB, 69 %, 398.21 W
2026/04/19 12:36:12.055, 69511 MiB, 81559 MiB, 75 %, 565.70 W
2026/04/19 12:36:13.085, 69511 MiB, 81559 MiB, 73 %, 456.75 W
2026/04/19 12:36:14.111, 69511 MiB, 81559 MiB, 97 %, 428.70 W
2026/04/19 12:36:15.139, 69511 MiB, 81559 MiB, 71 %, 507.76 W
2026/04/19 12:36:16.169, 69511 MiB, 81559 MiB, 72 %, 458.23 W
2026/04/19 12:36:17.199, 69511 MiB, 81559 MiB, 81 %, 577.22 W
2026/04/19 12:36:18.227, 69511 MiB, 81559 MiB, 69 %, 442.36 W
2026/04/19 12:36:19.257, 69511 MiB, 81559 MiB, 58 %, 452.54 W
2026/04/19 12:36:20.288, 69511 MiB, 81559 MiB, 69 %, 557.53 W
2026/04/19 12:36:21.316, 69511 MiB, 81559 MiB, 68 %, 438.97 W
2026/04/19 12:36:22.344, 69511 MiB, 81559 MiB, 95 %, 545.78 W
2026/04/19 12:36:23.371, 69511 MiB, 81559 MiB, 73 %, 491.91 W
2026/04/19 12:36:24.401, 69511 MiB, 81559 MiB, 74 %, 455.51 W
