tenant,request_id,submit_time,ttft_ms,total_latency_ms,tokens_out,error
flooder,3604,1776630822.752294,63.768863677978516,843.6520099639893,58,
flooder,7368,1776630940.7342682,48.28786849975586,874.9260902404785,64,
flooder,3679,1776630825.5789115,67.82269477844238,903.0435085296631,63,
flooder,7649,1776630950.8383641,46.909332275390625,834.6757888793945,62,
flooder,7459,1776630944.079254,59.11588668823242,861.8452548980713,64,
flooder,3531,1776630820.1785796,71.99716567993164,871.8538284301758,62,
flooder,7387,1776630941.2903254,48.51341247558594,826.223611831665,63,
flooder,3598,1776630822.5020204,47.60456085205078,825.3893852233887,64,
flooder,7415,1776630942.6656277,42.04559326171875,844.6590900421143,60,
flooder,3494,1776630819.023264,85.5252742767334,886.5518569946289,60,
flooder,7329,1776630939.5305493,54.84294891357422,865.5200004577637,64,
flooder,3566,1776630821.2349885,53.07793617248535,878.537654876709,64,
flooder,7431,1776630943.1897268,38.68412971496582,860.9287738800049,64,
flooder,3658,1776630824.893109,35.440921783447266,823.0433464050293,61,
flooder,3499,1776630819.0978076,70.63865661621094,876.6157627105713,60,
flooder,7359,1776630940.4935262,69.20051574707031,885.5547904968262,63,
flooder,3502,1776630819.2316065,57.20639228820801,864.6416664123535,64,
flooder,7422,1776630942.902488,58.9141845703125,859.5263957977295,62,
flooder,7473,1776630944.6464968,65.67215919494629,844.4044589996338,63,
flooder,3554,1776630820.958089,41.89276695251465,874.093770980835,64,
flooder,3495,1776630819.027362,63.898563385009766,880.1333904266357,64,
flooder,7414,1776630942.6570635,65.06466865539551,855.8835983276367,59,
flooder,3553,1776630820.953395,44.23189163208008,875.6105899810791,64,
flooder,7435,1776630943.3244767,60.3024959564209,877.3024082183838,64,
flooder,3659,1776630825.0084836,49.304962158203125,851.3917922973633,64,
flooder,7363,1776630940.5994105,68.41015815734863,882.3270797729492,57,
flooder,3550,1776630820.9074926,55.216073989868164,886.8906497955322,64,
flooder,7411,1776630942.59663,47.124385833740234,849.8382568359375,64,
flooder,3562,1776630821.132323,61.08427047729492,880.6700706481934,62,
flooder,7489,1776630945.2036493,48.86436462402344,835.8368873596191,64,
flooder,3567,1776630821.2796857,47.72830009460449,869.6351051330566,59,
flooder,7365,1776630940.6455514,69.11659240722656,885.1144313812256,63,
flooder,3530,1776630820.1728387,56.74576759338379,867.4557209014893,64,
flooder,7565,1776630947.717557,49.18956756591797,849.8990535736084,64,
flooder,3589,1776630822.2032123,62.84046173095703,824.5573043823242,60,
