2026/04/19 00:22:25.326, 63465 MiB, 81920 MiB, 1 %, 86.99 W
2026/04/19 00:22:26.351, 63471 MiB, 81920 MiB, 1 %, 85.70 W
2026/04/19 00:22:27.377, 63595 MiB, 81920 MiB, 1 %, 85.70 W
2026/04/19 00:22:28.402, 63599 MiB, 81920 MiB, 22 %, 134.63 W
2026/04/19 00:22:29.431, 63565 MiB, 81920 MiB, 21 %, 85.97 W
2026/04/19 00:22:30.458, 63569 MiB, 81920 MiB, 1 %, 85.97 W
2026/04/19 00:22:31.486, 63611 MiB, 81920 MiB, 1 %, 86.06 W
2026/04/19 00:22:32.510, 63617 MiB, 81920 MiB, 1 %, 87.62 W
2026/04/19 00:22:33.536, 63593 MiB, 81920 MiB, 19 %, 86.15 W
2026/04/19 00:22:34.560, 63599 MiB, 81920 MiB, 7 %, 85.70 W
2026/04/19 00:22:35.591, 63639 MiB, 81920 MiB, 0 %, 132.56 W
2026/04/19 00:22:36.616, 63621 MiB, 81920 MiB, 14 %, 85.97 W
2026/04/19 00:22:37.640, 63627 MiB, 81920 MiB, 14 %, 85.88 W
2026/04/19 00:22:38.666, 63639 MiB, 81920 MiB, 0 %, 93.48 W
2026/04/19 00:22:39.691, 63647 MiB, 81920 MiB, 0 %, 85.88 W
2026/04/19 00:22:40.716, 63659 MiB, 81920 MiB, 11 %, 85.70 W
2026/04/19 00:22:41.742, 63667 MiB, 81920 MiB, 0 %, 131.96 W
2026/04/19 00:22:42.767, 63675 MiB, 81920 MiB, 0 %, 85.79 W
2026/04/19 00:22:43.792, 63675 MiB, 81920 MiB, 0 %, 85.70 W
2026/04/19 00:22:44.816, 63675 MiB, 81920 MiB, 0 %, 85.70 W
2026/04/19 00:22:45.839, 63679 MiB, 81920 MiB, 54 %, 117.41 W
2026/04/19 00:22:46.865, 63683 MiB, 81920 MiB, 0 %, 116.39 W
2026/04/19 00:22:47.895, 63723 MiB, 81920 MiB, 93 %, 305.17 W
2026/04/19 00:22:48.921, 63759 MiB, 81920 MiB, 93 %, 307.51 W
2026/04/19 00:22:49.947, 63759 MiB, 81920 MiB, 94 %, 305.44 W
2026/04/19 00:22:50.976, 63759 MiB, 81920 MiB, 95 %, 313.45 W
2026/04/19 00:22:52.002, 63759 MiB, 81920 MiB, 94 %, 310.45 W
2026/04/19 00:22:53.027, 63759 MiB, 81920 MiB, 94 %, 301.03 W
2026/04/19 00:22:54.053, 63759 MiB, 81920 MiB, 95 %, 303.38 W
2026/04/19 00:22:55.080, 63759 MiB, 81920 MiB, 94 %, 300.43 W
2026/04/19 00:22:56.106, 63759 MiB, 81920 MiB, 94 %, 306.91 W
2026/04/19 00:22:57.134, 63759 MiB, 81920 MiB, 95 %, 306.05 W
2026/04/19 00:22:58.161, 63759 MiB, 81920 MiB, 95 %, 309.30 W
2026/04/19 00:22:59.197, 63759 MiB, 81920 MiB, 94 %, 310.78 W
2026/04/19 00:23:00.223, 63759 MiB, 81920 MiB, 95 %, 314.04 W
2026/04/19 00:23:01.248, 63759 MiB, 81920 MiB, 94 %, 303.70 W
