2026/04/19 15:20:37.250, 1 MiB, 81920 MiB, 0 %, 64.08 W
2026/04/19 15:20:38.283, 1 MiB, 81920 MiB, 0 %, 64.15 W
2026/04/19 15:20:39.315, 1 MiB, 81920 MiB, 0 %, 64.15 W
2026/04/19 15:20:40.348, 1 MiB, 81920 MiB, 0 %, 64.41 W
2026/04/19 15:20:41.384, 1 MiB, 81920 MiB, 0 %, 64.08 W
2026/04/19 15:20:42.417, 1 MiB, 81920 MiB, 0 %, 64.15 W
2026/04/19 15:20:43.449, 1 MiB, 81920 MiB, 0 %, 64.48 W
2026/04/19 15:20:44.481, 1 MiB, 81920 MiB, 0 %, 64.15 W
2026/04/19 15:20:45.513, 1 MiB, 81920 MiB, 0 %, 64.41 W
2026/04/19 15:20:46.546, 1 MiB, 81920 MiB, 0 %, 64.41 W
2026/04/19 15:20:47.580, 1 MiB, 81920 MiB, 0 %, 64.15 W
2026/04/19 15:20:48.614, 1 MiB, 81920 MiB, 0 %, 64.15 W
2026/04/19 15:20:49.649, 1 MiB, 81920 MiB, 0 %, 64.02 W
2026/04/19 15:20:50.683, 1 MiB, 81920 MiB, 0 %, 64.41 W
2026/04/19 15:20:51.715, 1 MiB, 81920 MiB, 0 %, 64.08 W
2026/04/19 15:20:52.749, 1 MiB, 81920 MiB, 0 %, 64.15 W
2026/04/19 15:20:53.783, 1 MiB, 81920 MiB, 0 %, 64.08 W
2026/04/19 15:20:54.819, 1 MiB, 81920 MiB, 0 %, 64.15 W
2026/04/19 15:20:55.853, 1 MiB, 81920 MiB, 0 %, 64.15 W
2026/04/19 15:20:56.888, 1 MiB, 81920 MiB, 0 %, 64.34 W
2026/04/19 15:20:57.923, 1 MiB, 81920 MiB, 0 %, 64.41 W
2026/04/19 15:20:58.959, 1 MiB, 81920 MiB, 0 %, 64.08 W
2026/04/19 15:20:59.996, 1 MiB, 81920 MiB, 0 %, 64.34 W
2026/04/19 15:21:01.028, 1 MiB, 81920 MiB, 0 %, 64.34 W
2026/04/19 15:21:02.064, 1 MiB, 81920 MiB, 0 %, 64.15 W
2026/04/19 15:21:03.097, 1 MiB, 81920 MiB, 0 %, 64.08 W
2026/04/19 15:21:04.129, 1 MiB, 81920 MiB, 0 %, 64.15 W
2026/04/19 15:21:05.157, 15865 MiB, 81920 MiB, 8 %, 75.02 W
2026/04/19 15:21:06.187, 15865 MiB, 81920 MiB, 0 %, 74.78 W
2026/04/19 15:21:07.226, 15865 MiB, 81920 MiB, 0 %, 74.78 W
2026/04/19 15:21:08.258, 15865 MiB, 81920 MiB, 0 %, 74.78 W
2026/04/19 15:21:09.290, 15865 MiB, 81920 MiB, 0 %, 75.02 W
2026/04/19 15:21:10.323, 15865 MiB, 81920 MiB, 0 %, 74.78 W
2026/04/19 15:21:11.354, 15865 MiB, 81920 MiB, 0 %, 75.02 W
2026/04/19 15:21:12.382, 15865 MiB, 81920 MiB, 53 %, 95.95 W
2026/04/19 15:21:13.412, 15865 MiB, 81920 MiB, 45 %, 95.01 W
2026/04/19 15:21:14.496, 15865 MiB, 81920 MiB, 0 %, 94.88 W
