2026/04/19 14:10:12.328, 67937 MiB, 81559 MiB, 0 %, 167.17 W
2026/04/19 14:10:13.361, 67945 MiB, 81559 MiB, 18 %, 163.19 W
2026/04/19 14:10:14.391, 67953 MiB, 81559 MiB, 16 %, 156.54 W
2026/04/19 14:10:15.423, 67961 MiB, 81559 MiB, 16 %, 154.97 W
2026/04/19 14:10:16.454, 67967 MiB, 81559 MiB, 15 %, 150.20 W
2026/04/19 14:10:17.487, 67999 MiB, 81559 MiB, 14 %, 148.24 W
2026/04/19 14:10:18.518, 67983 MiB, 81559 MiB, 13 %, 146.72 W
2026/04/19 14:10:19.546, 67985 MiB, 81559 MiB, 0 %, 127.57 W
2026/04/19 14:10:20.575, 67985 MiB, 81559 MiB, 0 %, 127.39 W
2026/04/19 14:10:21.607, 67985 MiB, 81559 MiB, 0 %, 127.31 W
2026/04/19 14:10:22.639, 67985 MiB, 81559 MiB, 0 %, 127.20 W
2026/04/19 14:10:23.668, 67985 MiB, 81559 MiB, 0 %, 127.19 W
2026/04/19 14:10:24.695, 67985 MiB, 81559 MiB, 0 %, 127.21 W
2026/04/19 14:10:25.725, 67985 MiB, 81559 MiB, 0 %, 127.16 W
2026/04/19 14:10:26.756, 67985 MiB, 81559 MiB, 0 %, 127.06 W
2026/04/19 14:10:27.787, 67989 MiB, 81559 MiB, 0 %, 182.78 W
2026/04/19 14:10:28.816, 68629 MiB, 81559 MiB, 78 %, 437.35 W
2026/04/19 14:10:29.849, 68629 MiB, 81559 MiB, 81 %, 485.48 W
2026/04/19 14:10:30.883, 68629 MiB, 81559 MiB, 80 %, 556.12 W
2026/04/19 14:10:31.915, 68629 MiB, 81559 MiB, 82 %, 487.94 W
2026/04/19 14:10:32.947, 68629 MiB, 81559 MiB, 79 %, 564.53 W
2026/04/19 14:10:33.980, 68629 MiB, 81559 MiB, 80 %, 491.55 W
2026/04/19 14:10:35.015, 68629 MiB, 81559 MiB, 80 %, 560.23 W
2026/04/19 14:10:36.049, 68629 MiB, 81559 MiB, 74 %, 494.72 W
2026/04/19 14:10:37.082, 68629 MiB, 81559 MiB, 75 %, 536.08 W
2026/04/19 14:10:38.117, 68629 MiB, 81559 MiB, 76 %, 479.64 W
2026/04/19 14:10:39.151, 68629 MiB, 81559 MiB, 79 %, 456.37 W
2026/04/19 14:10:40.184, 68629 MiB, 81559 MiB, 77 %, 491.84 W
2026/04/19 14:10:41.218, 68629 MiB, 81559 MiB, 81 %, 551.58 W
2026/04/19 14:10:42.253, 68629 MiB, 81559 MiB, 79 %, 494.00 W
2026/04/19 14:10:43.285, 68629 MiB, 81559 MiB, 79 %, 555.96 W
2026/04/19 14:10:44.318, 68629 MiB, 81559 MiB, 81 %, 490.30 W
2026/04/19 14:10:45.352, 68629 MiB, 81559 MiB, 79 %, 524.17 W
2026/04/19 14:10:46.386, 68629 MiB, 81559 MiB, 89 %, 519.13 W
2026/04/19 14:10:47.417, 68629 MiB, 81559 MiB, 77 %, 520.46 W
2026/04/19 14:10:48.452, 68629 MiB, 81559 MiB, 90 %, 528.75 W
