2026/04/19 15:37:52.077, 68549 MiB, 81920 MiB, 86 %, 276.72 W
2026/04/19 15:37:53.109, 68549 MiB, 81920 MiB, 90 %, 271.05 W
2026/04/19 15:37:54.139, 68549 MiB, 81920 MiB, 87 %, 289.76 W
2026/04/19 15:37:55.170, 68549 MiB, 81920 MiB, 87 %, 298.04 W
2026/04/19 15:37:56.201, 68549 MiB, 81920 MiB, 90 %, 280.53 W
2026/04/19 15:37:57.237, 68549 MiB, 81920 MiB, 88 %, 280.24 W
2026/04/19 15:37:58.281, 68549 MiB, 81920 MiB, 90 %, 297.14 W
2026/04/19 15:37:59.316, 68549 MiB, 81920 MiB, 90 %, 294.48 W
2026/04/19 15:38:00.346, 68549 MiB, 81920 MiB, 90 %, 297.47 W
2026/04/19 15:38:01.380, 68549 MiB, 81920 MiB, 87 %, 274.32 W
2026/04/19 15:38:02.412, 68549 MiB, 81920 MiB, 89 %, 290.94 W
2026/04/19 15:38:03.449, 68549 MiB, 81920 MiB, 86 %, 299.23 W
2026/04/19 15:38:04.478, 68549 MiB, 81920 MiB, 90 %, 255.69 W
2026/04/19 15:38:05.510, 68549 MiB, 81920 MiB, 90 %, 276.72 W
2026/04/19 15:38:06.543, 68549 MiB, 81920 MiB, 90 %, 303.69 W
2026/04/19 15:38:07.577, 68549 MiB, 81920 MiB, 90 %, 302.50 W
2026/04/19 15:38:08.610, 68549 MiB, 81920 MiB, 90 %, 303.37 W
2026/04/19 15:38:09.640, 68549 MiB, 81920 MiB, 90 %, 282.61 W
2026/04/19 15:38:10.675, 68549 MiB, 81920 MiB, 89 %, 272.57 W
2026/04/19 15:38:11.706, 68549 MiB, 81920 MiB, 90 %, 302.20 W
2026/04/19 15:38:12.734, 68549 MiB, 81920 MiB, 90 %, 287.40 W
2026/04/19 15:38:13.769, 68549 MiB, 81920 MiB, 86 %, 286.20 W
2026/04/19 15:38:14.804, 68549 MiB, 81920 MiB, 90 %, 275.19 W
2026/04/19 15:38:15.832, 68549 MiB, 81920 MiB, 89 %, 297.47 W
2026/04/19 15:38:16.862, 68549 MiB, 81920 MiB, 89 %, 277.86 W
2026/04/19 15:38:17.895, 68549 MiB, 81920 MiB, 90 %, 306.64 W
2026/04/19 15:38:18.927, 68549 MiB, 81920 MiB, 90 %, 282.93 W
2026/04/19 15:38:19.959, 68549 MiB, 81920 MiB, 88 %, 288.84 W
2026/04/19 15:38:20.988, 68549 MiB, 81920 MiB, 90 %, 285.89 W
2026/04/19 15:38:22.019, 68549 MiB, 81920 MiB, 90 %, 291.51 W
2026/04/19 15:38:23.051, 68549 MiB, 81920 MiB, 90 %, 306.96 W
