2026/04/19 13:56:12.258, 68509 MiB, 81559 MiB, 0 %, 168.47 W
2026/04/19 13:56:13.289, 68513 MiB, 81559 MiB, 0 %, 166.07 W
2026/04/19 13:56:14.319, 68515 MiB, 81559 MiB, 0 %, 160.19 W
2026/04/19 13:56:15.348, 68517 MiB, 81559 MiB, 0 %, 149.82 W
2026/04/19 13:56:16.378, 68495 MiB, 81559 MiB, 0 %, 154.84 W
2026/04/19 13:56:17.407, 68507 MiB, 81559 MiB, 14 %, 149.66 W
2026/04/19 13:56:18.436, 68493 MiB, 81559 MiB, 13 %, 146.83 W
2026/04/19 13:56:19.467, 68497 MiB, 81559 MiB, 0 %, 136.98 W
2026/04/19 13:56:20.497, 68497 MiB, 81559 MiB, 0 %, 128.44 W
2026/04/19 13:56:21.526, 68497 MiB, 81559 MiB, 0 %, 128.97 W
2026/04/19 13:56:22.555, 68497 MiB, 81559 MiB, 0 %, 127.71 W
2026/04/19 13:56:23.582, 68497 MiB, 81559 MiB, 0 %, 127.61 W
2026/04/19 13:56:24.610, 68497 MiB, 81559 MiB, 0 %, 127.59 W
2026/04/19 13:56:25.636, 68497 MiB, 81559 MiB, 0 %, 127.60 W
2026/04/19 13:56:26.662, 68497 MiB, 81559 MiB, 0 %, 127.55 W
2026/04/19 13:56:27.691, 68501 MiB, 81559 MiB, 7 %, 132.10 W
2026/04/19 13:56:28.723, 69085 MiB, 81559 MiB, 87 %, 283.83 W
2026/04/19 13:56:29.752, 69085 MiB, 81559 MiB, 80 %, 511.88 W
2026/04/19 13:56:30.783, 69087 MiB, 81559 MiB, 89 %, 540.60 W
2026/04/19 13:56:31.812, 69087 MiB, 81559 MiB, 81 %, 488.53 W
2026/04/19 13:56:32.842, 69087 MiB, 81559 MiB, 96 %, 565.39 W
2026/04/19 13:56:33.875, 69087 MiB, 81559 MiB, 74 %, 449.98 W
2026/04/19 13:56:34.907, 69087 MiB, 81559 MiB, 98 %, 518.68 W
2026/04/19 13:56:35.937, 69087 MiB, 81559 MiB, 79 %, 487.64 W
2026/04/19 13:56:36.970, 69087 MiB, 81559 MiB, 96 %, 572.08 W
2026/04/19 13:56:38.001, 69087 MiB, 81559 MiB, 79 %, 482.56 W
2026/04/19 13:56:39.030, 69087 MiB, 81559 MiB, 53 %, 542.28 W
2026/04/19 13:56:40.059, 69087 MiB, 81559 MiB, 79 %, 410.65 W
2026/04/19 13:56:41.089, 69087 MiB, 81559 MiB, 92 %, 542.02 W
2026/04/19 13:56:42.119, 69087 MiB, 81559 MiB, 80 %, 493.78 W
2026/04/19 13:56:43.150, 69087 MiB, 81559 MiB, 93 %, 564.40 W
2026/04/19 13:56:44.180, 69087 MiB, 81559 MiB, 80 %, 508.45 W
2026/04/19 13:56:45.209, 69087 MiB, 81559 MiB, 96 %, 553.53 W
2026/04/19 13:56:46.242, 69087 MiB, 81559 MiB, 78 %, 494.43 W
2026/04/19 13:56:47.275, 69087 MiB, 81559 MiB, 89 %, 554.09 W
2026/04/19 13:56:48.304, 69087 MiB, 81559 MiB, 82 %, 495.41 W
2026/04/19 13:56:49.336, 69087 MiB, 81559 MiB, 91 %, 542.67 W
2026/04/19 13:56:50.366, 69087 MiB, 81559 MiB, 80 %, 502.34 W
2026/04/19 13:56:51.398, 69087 MiB, 81559 MiB, 92 %, 547.25 W
2026/04/19 13:56:52.429, 69087 MiB, 81559 MiB, 81 %, 508.00 W
2026/04/19 13:56:53.460, 69087 MiB, 81559 MiB, 81 %, 558.13 W
2026/04/19 13:56:54.492, 69087 MiB, 81559 MiB, 81 %, 508.33 W
2026/04/19 13:56:55.524, 69087 MiB, 81559 MiB, 80 %, 549.46 W
2026/04/19 13:56:56.555, 69087 MiB, 81559 MiB, 82 %, 497.52 W
2026/04/19 13:56:57.587, 69087 MiB, 81559 MiB, 23 %, 492.25 W
2026/04/19 13:56:58.619, 69087 MiB, 81559 MiB, 82 %, 492.01 W
2026/04/19 13:56:59.649, 69087 MiB, 81559 MiB, 86 %, 562.11 W
2026/04/19 13:57:00.683, 69087 MiB, 81559 MiB, 81 %, 492.30 W
2026/04/19 13:57:01.715, 69087 MiB, 81559 MiB, 83 %, 572.13 W
2026/04/19 13:57:02.745, 69087 MiB, 81559 MiB, 81 %, 492.61 W
2026/04/19 13:57:03.773, 69087 MiB, 81559 MiB, 81 %, 562.56 W
2026/04/19 13:57:04.803, 69087 MiB, 81559 MiB, 81 %, 495.91 W
2026/04/19 13:57:05.834, 69087 MiB, 81559 MiB, 81 %, 554.00 W
2026/04/19 13:57:06.866, 69087 MiB, 81559 MiB, 80 %, 495.34 W
2026/04/19 13:57:07.896, 69087 MiB, 81559 MiB, 73 %, 551.81 W
2026/04/19 13:57:08.928, 69087 MiB, 81559 MiB, 70 %, 460.51 W
2026/04/19 13:57:09.960, 69087 MiB, 81559 MiB, 81 %, 560.17 W
2026/04/19 13:57:10.991, 69087 MiB, 81559 MiB, 82 %, 492.29 W
2026/04/19 13:57:12.022, 69087 MiB, 81559 MiB, 81 %, 573.17 W
2026/04/19 13:57:13.054, 69087 MiB, 81559 MiB, 82 %, 506.13 W
2026/04/19 13:57:14.088, 69087 MiB, 81559 MiB, 81 %, 558.05 W
2026/04/19 13:57:15.120, 69087 MiB, 81559 MiB, 81 %, 505.58 W
2026/04/19 13:57:16.156, 69087 MiB, 81559 MiB, 78 %, 486.54 W
2026/04/19 13:57:17.189, 69087 MiB, 81559 MiB, 81 %, 509.48 W
2026/04/19 13:57:18.219, 69087 MiB, 81559 MiB, 79 %, 553.31 W
2026/04/19 13:57:19.252, 69087 MiB, 81559 MiB, 83 %, 506.70 W
