tenant,request_id,submit_time,ttft_ms,total_latency_ms,tokens_out,prompt_tokens,error
quiet_8,72,1776781191.6721315,38.947343826293945,476.7951965332031,64,0,
quiet_8,29,1776781148.2556329,32.717227935791016,463.4413719177246,59,0,
quiet_8,60,1776781181.4352765,41.99671745300293,477.1299362182617,63,0,
quiet_8,151,1776781267.6817222,45.32146453857422,459.8560333251953,61,0,
quiet_8,114,1776781233.714723,43.38264465332031,468.5401916503906,64,0,
quiet_8,158,1776781273.7310436,48.502206802368164,470.61705589294434,57,0,
quiet_8,38,1776781159.210913,45.40109634399414,465.73328971862793,60,0,
quiet_8,57,1776781180.0616362,45.645952224731445,474.2422103881836,61,0,
quiet_8,44,1776781169.4312966,50.07743835449219,476.75061225891113,63,0,
quiet_8,126,1776781242.2012136,42.29283332824707,473.5429286956787,62,0,
quiet_8,43,1776781167.267066,43.27058792114258,469.2091941833496,60,0,
quiet_8,102,1776781222.5644011,43.721675872802734,471.9562530517578,62,0,
quiet_8,135,1776781247.901153,45.2885627746582,465.2225971221924,60,0,
quiet_8,100,1776781221.0503883,44.89278793334961,473.6289978027344,64,0,
quiet_8,129,1776781244.252177,44.68536376953125,466.5679931640625,60,0,
quiet_8,105,1776781223.3911068,42.4494743347168,464.78939056396484,64,0,
quiet_8,92,1776781215.0896869,39.98112678527832,472.7826118469238,64,0,
quiet_8,32,1776781153.0763602,40.58194160461426,471.45843505859375,64,0,
quiet_8,21,1776781133.402556,30.1361083984375,457.24940299987793,64,0,
quiet_8,80,1776781203.213385,46.38981819152832,456.2838077545166,63,0,
quiet_8,49,1776781174.7087471,53.41935157775879,480.3934097290039,59,0,
quiet_8,62,1776781183.5833151,46.640634536743164,475.3847122192383,60,0,
quiet_8,137,1776781250.1766243,56.818485260009766,472.4128246307373,63,0,
quiet_8,37,1776781158.8202534,37.66202926635742,462.8174304962158,64,0,
quiet_8,54,1776781178.0265133,46.062469482421875,471.8897342681885,63,0,
quiet_8,154,1776781271.2998874,44.05379295349121,459.7153663635254,63,0,
quiet_8,26,1776781139.9625416,56.566476821899414,475.658655166626,49,0,
quiet_8,67,1776781187.1641984,51.154136657714844,476.6526222229004,64,0,
quiet_8,75,1776781194.2967494,38.89131546020508,491.4722442626953,64,0,
quiet_8,115,1776781233.7421422,47.29461669921875,467.3769474029541,64,0,
quiet_8,117,1776781234.9592464,44.49892044067383,466.57538414001465,64,0,
quiet_8,42,1776781166.4678512,41.41402244567871,465.9423828125,63,0,
quiet_8,66,1776781186.8218594,36.119937896728516,464.48326110839844,64,0,
quiet_8,110,1776781227.173611,50.30035972595215,466.83764457702637,62,0,
quiet_8,121,1776781237.8722963,34.58881378173828,456.5930366516113,63,0,
quiet_8,145,1776781262.359441,42.86336898803711,464.3738269805908,64,0,
quiet_8,31,1776781152.6791663,36.64040565490723,469.2990779876709,64,0,
quiet_8,35,1776781156.2709408,32.733917236328125,463.26422691345215,64,0,
quiet_8,82,1776781206.6646562,52.31213569641113,464.28942680358887,52,0,
quiet_8,107,1776781223.9982872,34.96599197387695,456.93111419677734,64,0,
quiet_8,8,1776781116.146852,40.60840606689453,474.531888961792,56,0,
quiet_8,134,1776781247.8479872,41.677236557006836,459.7947597503662,64,0,
quiet_8,141,1776781253.8992486,40.4200553894043,462.86773681640625,61,0,
quiet_8,20,1776781130.7114873,48.04849624633789,471.85587882995605,62,0,
quiet_8,95,1776781217.8590732,45.133113861083984,468.2941436767578,64,0,
quiet_8,131,1776781246.3265963,54.823875427246094,466.40777587890625,63,0,
quiet_8,150,1776781267.1887727,47.80459403991699,466.3426876068115,59,0,
quiet_8,12,1776781120.0044527,35.15362739562988,467.8928852081299,61,0,
quiet_8,73,1776781191.948887,49.11398887634277,467.5774574279785,62,0,
quiet_8,84,1776781207.5925655,51.50341987609863,470.4148769378662,60,0,
quiet_8,36,1776781157.15392,38.58137130737305,473.4477996826172,64,0,
quiet_8,109,1776781224.969992,36.27324104309082,451.8084526062012,63,0,
quiet_8,139,1776781251.1502745,35.92729568481445,469.95019912719727,64,0,
quiet_8,2,1776781108.2681427,50.3232479095459,475.73065757751465,64,0,
quiet_8,7,1776781115.6575384,54.48460578918457,472.31364250183105,62,0,
quiet_8,112,1776781231.2207122,50.034284591674805,461.38691902160645,61,0,
quiet_8,149,1776781265.9216263,49.1025447845459,471.69947624206543,60,0,
quiet_8,89,1776781214.0310524,43.18690299987793,464.2927646636963,64,0,
quiet_8,146,1776781264.9381416,50.85349082946777,474.33948516845703,60,0,
quiet_8,86,1776781209.493425,34.964799880981445,457.12733268737793,64,0,
quiet_8,143,1776781255.684267,51.068782806396484,463.123083114624,62,0,
quiet_8,164,1776781284.6887023,37.38117218017578,448.6079216003418,64,0,
quiet_8,155,1776781271.4435396,42.95706748962402,460.4024887084961,63,0,
quiet_8,3,1776781110.0560462,36.937713623046875,473.2401371002197,61,0,
quiet_8,28,1776781147.5134435,52.06179618835449,463.32454681396484,58,0,
quiet_8,87,1776781213.3275332,30.839920043945312,452.136754989624,64,0,
quiet_8,5,1776781113.459742,44.88968849182129,469.4356918334961,64,0,
quiet_8,16,1776781122.912851,40.31085968017578,468.463659286499,63,0,
quiet_8,59,1776781181.4295752,46.881675720214844,474.6565818786621,63,0,
quiet_8,88,1776781213.768244,59.8757266998291,478.06239128112793,63,0,
quiet_8,101,1776781221.2572753,58.4566593170166,482.4681282043457,63,0,
quiet_8,65,1776781185.411558,50.15826225280762,478.9276123046875,62,0,
quiet_8,10,1776781118.5802534,43.29848289489746,488.3008003234863,64,0,
quiet_8,119,1776781237.4885583,41.6409969329834,459.51008796691895,57,0,
quiet_8,161,1776781276.9724634,43.32423210144043,449.25427436828613,62,0,
quiet_8,147,1776781265.2300165,38.912296295166016,453.57322692871094,52,0,
quiet_8,6,1776781114.775452,55.65285682678223,477.20813751220703,63,0,
quiet_8,90,1776781214.688911,38.7420654296875,466.86673164367676,64,0,
quiet_8,130,1776781246.0860088,39.6876335144043,464.9496078491211,64,0,
quiet_8,81,1776781206.049585,41.838884353637695,450.2439498901367,64,0,
quiet_8,14,1776781120.8903043,46.27370834350586,474.87878799438477,64,0,
quiet_8,33,1776781155.1922476,42.80543327331543,468.4867858886719,60,0,
quiet_8,53,1776781177.5105324,50.8420467376709,479.7251224517822,58,0,
quiet_8,70,1776781188.972347,50.51922798156738,478.10983657836914,59,0,
quiet_8,136,1776781248.0886683,50.79770088195801,465.34109115600586,62,0,
quiet_8,63,1776781183.6392176,44.75283622741699,474.34020042419434,63,0,
quiet_8,157,1776781271.81825,58.25185775756836,472.08428382873535,58,0,
quiet_8,56,1776781179.2565928,49.278974533081055,468.4121608734131,63,0,
