2026/04/19 17:01:44.428, 17403 MiB, 81920 MiB, 89 %, 114.34 W
2026/04/19 17:01:45.494, 68239 MiB, 81920 MiB, 1 %, 112.42 W
2026/04/19 17:01:46.519, 68241 MiB, 81920 MiB, 1 %, 86.04 W
2026/04/19 17:01:47.600, 68245 MiB, 81920 MiB, 1 %, 85.77 W
2026/04/19 17:01:48.632, 68381 MiB, 81920 MiB, 1 %, 85.68 W
2026/04/19 17:01:49.661, 68389 MiB, 81920 MiB, 1 %, 85.68 W
2026/04/19 17:01:50.699, 68395 MiB, 81920 MiB, 1 %, 89.43 W
2026/04/19 17:01:51.727, 68403 MiB, 81920 MiB, 0 %, 86.04 W
2026/04/19 17:01:52.755, 68411 MiB, 81920 MiB, 1 %, 88.77 W
2026/04/19 17:01:53.782, 68387 MiB, 81920 MiB, 2 %, 86.04 W
2026/04/19 17:01:54.808, 68395 MiB, 81920 MiB, 0 %, 85.77 W
2026/04/19 17:01:56.192, 68423 MiB, 81920 MiB, 0 %, 85.77 W
2026/04/19 17:01:57.622, 68411 MiB, 81920 MiB, 0 %, 114.55 W
2026/04/19 17:01:59.001, 68415 MiB, 81920 MiB, 0 %, 114.46 W
2026/04/19 17:02:00.488, 68419 MiB, 81920 MiB, 0 %, 85.77 W
2026/04/19 17:02:01.529, 68429 MiB, 81920 MiB, 0 %, 86.04 W
2026/04/19 17:02:02.559, 68435 MiB, 81920 MiB, 17 %, 85.77 W
2026/04/19 17:02:03.591, 68451 MiB, 81920 MiB, 1 %, 85.77 W
2026/04/19 17:02:04.620, 68457 MiB, 81920 MiB, 12 %, 86.04 W
2026/04/19 17:02:05.646, 68465 MiB, 81920 MiB, 0 %, 85.77 W
2026/04/19 17:02:06.672, 68477 MiB, 81920 MiB, 0 %, 85.77 W
2026/04/19 17:02:07.699, 68485 MiB, 81920 MiB, 11 %, 172.29 W
2026/04/19 17:02:08.724, 68489 MiB, 81920 MiB, 0 %, 85.77 W
2026/04/19 17:02:09.751, 68489 MiB, 81920 MiB, 0 %, 85.77 W
2026/04/19 17:02:10.777, 68489 MiB, 81920 MiB, 0 %, 85.44 W
2026/04/19 17:02:11.803, 68489 MiB, 81920 MiB, 0 %, 85.44 W
2026/04/19 17:02:12.830, 68489 MiB, 81920 MiB, 0 %, 85.44 W
2026/04/19 17:02:13.856, 68489 MiB, 81920 MiB, 0 %, 85.44 W
2026/04/19 17:02:14.885, 68489 MiB, 81920 MiB, 0 %, 85.44 W
2026/04/19 17:02:15.911, 68489 MiB, 81920 MiB, 0 %, 85.44 W
2026/04/19 17:02:16.938, 68489 MiB, 81920 MiB, 0 %, 85.44 W
2026/04/19 17:02:17.965, 68489 MiB, 81920 MiB, 0 %, 85.44 W
2026/04/19 17:02:18.990, 68489 MiB, 81920 MiB, 0 %, 85.44 W
2026/04/19 17:02:20.016, 68493 MiB, 81920 MiB, 95 %, 118.33 W
2026/04/19 17:02:21.042, 68745 MiB, 81920 MiB, 88 %, 278.33 W
2026/04/19 17:02:22.070, 69073 MiB, 81920 MiB, 86 %, 281.06 W
2026/04/19 17:02:23.099, 69229 MiB, 81920 MiB, 86 %, 303.27 W
2026/04/19 17:02:24.129, 69229 MiB, 81920 MiB, 86 %, 279.24 W
2026/04/19 17:02:25.158, 69229 MiB, 81920 MiB, 87 %, 290.77 W
2026/04/19 17:02:26.185, 69229 MiB, 81920 MiB, 87 %, 286.54 W
2026/04/19 17:02:27.213, 69229 MiB, 81920 MiB, 87 %, 276.80 W
2026/04/19 17:02:28.245, 69229 MiB, 81920 MiB, 87 %, 289.90 W
2026/04/19 17:02:29.275, 69229 MiB, 81920 MiB, 87 %, 278.65 W
2026/04/19 17:02:30.303, 69229 MiB, 81920 MiB, 88 %, 281.09 W
2026/04/19 17:02:31.329, 69229 MiB, 81920 MiB, 87 %, 291.40 W
2026/04/19 17:02:32.356, 69229 MiB, 81920 MiB, 87 %, 291.40 W
2026/04/19 17:02:33.388, 69229 MiB, 81920 MiB, 87 %, 281.09 W
2026/04/19 17:02:34.416, 69229 MiB, 81920 MiB, 87 %, 299.58 W
2026/04/19 17:02:35.450, 69229 MiB, 81920 MiB, 87 %, 301.71 W
2026/04/19 17:02:36.479, 69229 MiB, 81920 MiB, 87 %, 281.37 W
2026/04/19 17:02:37.509, 69229 MiB, 81920 MiB, 88 %, 296.85 W
2026/04/19 17:02:38.540, 69229 MiB, 81920 MiB, 87 %, 298.38 W
2026/04/19 17:02:39.569, 69229 MiB, 81920 MiB, 87 %, 296.58 W
2026/04/19 17:02:40.599, 69229 MiB, 81920 MiB, 86 %, 279.24 W
2026/04/19 17:02:41.634, 69229 MiB, 81920 MiB, 84 %, 300.51 W
2026/04/19 17:02:42.662, 69229 MiB, 81920 MiB, 87 %, 292.33 W
2026/04/19 17:02:43.690, 69229 MiB, 81920 MiB, 88 %, 298.38 W
2026/04/19 17:02:44.720, 69229 MiB, 81920 MiB, 87 %, 298.38 W
2026/04/19 17:02:45.757, 69229 MiB, 81920 MiB, 88 %, 304.15 W
2026/04/19 17:02:46.785, 69229 MiB, 81920 MiB, 89 %, 276.52 W
2026/04/19 17:02:47.813, 69229 MiB, 81920 MiB, 87 %, 294.72 W
2026/04/19 17:02:48.848, 69229 MiB, 81920 MiB, 87 %, 299.89 W
2026/04/19 17:02:49.876, 69229 MiB, 81920 MiB, 88 %, 291.40 W
2026/04/19 17:02:50.917, 69229 MiB, 81920 MiB, 88 %, 286.54 W
2026/04/19 17:02:51.947, 69229 MiB, 81920 MiB, 87 %, 287.15 W
2026/04/19 17:02:52.975, 69229 MiB, 81920 MiB, 87 %, 295.98 W
2026/04/19 17:02:54.001, 69229 MiB, 81920 MiB, 87 %, 288.08 W
2026/04/19 17:02:55.030, 69229 MiB, 81920 MiB, 86 %, 278.97 W
2026/04/19 17:02:56.057, 69229 MiB, 81920 MiB, 85 %, 305.96 W
2026/04/19 17:02:57.085, 69229 MiB, 81920 MiB, 88 %, 281.97 W
2026/04/19 17:02:58.112, 69229 MiB, 81920 MiB, 87 %, 303.23 W
2026/04/19 17:02:59.144, 69229 MiB, 81920 MiB, 87 %, 294.16 W
2026/04/19 17:03:00.171, 69229 MiB, 81920 MiB, 85 %, 257.05 W
2026/04/19 17:03:01.200, 69229 MiB, 81920 MiB, 86 %, 294.12 W
2026/04/19 17:03:02.228, 69229 MiB, 81920 MiB, 87 %, 280.77 W
2026/04/19 17:03:03.254, 69229 MiB, 81920 MiB, 86 %, 300.51 W
2026/04/19 17:03:04.281, 69229 MiB, 81920 MiB, 87 %, 282.92 W
2026/04/19 17:03:05.308, 69229 MiB, 81920 MiB, 86 %, 298.38 W
2026/04/19 17:03:06.335, 69229 MiB, 81920 MiB, 87 %, 304.15 W
2026/04/19 17:03:07.362, 69229 MiB, 81920 MiB, 87 %, 278.64 W
2026/04/19 17:03:08.390, 69229 MiB, 81920 MiB, 87 %, 280.17 W
2026/04/19 17:03:09.420, 69229 MiB, 81920 MiB, 87 %, 305.08 W
2026/04/19 17:03:10.455, 69229 MiB, 81920 MiB, 86 %, 288.08 W
2026/04/19 17:03:11.484, 69229 MiB, 81920 MiB, 87 %, 301.71 W
2026/04/19 17:03:12.512, 69229 MiB, 81920 MiB, 87 %, 267.68 W
2026/04/19 17:03:13.545, 69229 MiB, 81920 MiB, 86 %, 295.98 W
2026/04/19 17:03:14.578, 69229 MiB, 81920 MiB, 88 %, 306.55 W
2026/04/19 17:03:15.611, 69229 MiB, 81920 MiB, 87 %, 278.97 W
2026/04/19 17:03:16.641, 69229 MiB, 81920 MiB, 85 %, 299.58 W
2026/04/19 17:03:17.671, 69229 MiB, 81920 MiB, 88 %, 276.24 W
2026/04/19 17:03:18.700, 69229 MiB, 81920 MiB, 87 %, 287.74 W
2026/04/19 17:03:19.731, 69229 MiB, 81920 MiB, 88 %, 298.70 W
2026/04/19 17:03:20.759, 69229 MiB, 81920 MiB, 87 %, 287.47 W
2026/04/19 17:03:21.785, 69229 MiB, 81920 MiB, 84 %, 268.01 W
2026/04/19 17:03:22.811, 69229 MiB, 81920 MiB, 85 %, 308.08 W
2026/04/19 17:03:23.839, 69229 MiB, 81920 MiB, 86 %, 305.08 W
2026/04/19 17:03:24.867, 69229 MiB, 81920 MiB, 88 %, 290.20 W
2026/04/19 17:03:25.896, 69229 MiB, 81920 MiB, 87 %, 296.25 W
2026/04/19 17:03:26.932, 69229 MiB, 81920 MiB, 86 %, 307.21 W
2026/04/19 17:03:27.960, 69229 MiB, 81920 MiB, 86 %, 300.17 W
2026/04/19 17:03:28.989, 69229 MiB, 81920 MiB, 86 %, 268.01 W
2026/04/19 17:03:30.019, 69229 MiB, 81920 MiB, 87 %, 302.30 W
2026/04/19 17:03:31.055, 69229 MiB, 81920 MiB, 87 %, 287.74 W
2026/04/19 17:03:32.083, 69229 MiB, 81920 MiB, 84 %, 276.84 W
2026/04/19 17:03:33.109, 69229 MiB, 81920 MiB, 87 %, 306.55 W
2026/04/19 17:03:34.142, 69229 MiB, 81920 MiB, 84 %, 327.82 W
2026/04/19 17:03:35.171, 69229 MiB, 81920 MiB, 85 %, 308.68 W
2026/04/19 17:03:36.204, 69229 MiB, 81920 MiB, 86 %, 283.49 W
2026/04/19 17:03:37.235, 69229 MiB, 81920 MiB, 88 %, 290.47 W
2026/04/19 17:03:38.263, 69229 MiB, 81920 MiB, 87 %, 281.06 W
2026/04/19 17:03:39.291, 69229 MiB, 81920 MiB, 85 %, 279.85 W
2026/04/19 17:03:40.319, 69229 MiB, 81920 MiB, 87 %, 301.10 W
2026/04/19 17:03:41.353, 69229 MiB, 81920 MiB, 86 %, 291.07 W
2026/04/19 17:03:42.383, 69229 MiB, 81920 MiB, 86 %, 299.31 W
2026/04/19 17:03:43.410, 69229 MiB, 81920 MiB, 88 %, 295.33 W
2026/04/19 17:03:44.439, 69229 MiB, 81920 MiB, 87 %, 300.83 W
2026/04/19 17:03:45.467, 69229 MiB, 81920 MiB, 86 %, 308.68 W
2026/04/19 17:03:46.497, 69229 MiB, 81920 MiB, 85 %, 311.73 W
2026/04/19 17:03:47.524, 69229 MiB, 81920 MiB, 87 %, 287.47 W
2026/04/19 17:03:48.555, 69229 MiB, 81920 MiB, 87 %, 287.47 W
2026/04/19 17:03:49.593, 69229 MiB, 81920 MiB, 87 %, 293.85 W
2026/04/19 17:03:50.620, 69229 MiB, 81920 MiB, 87 %, 298.98 W
2026/04/19 17:03:51.653, 69229 MiB, 81920 MiB, 88 %, 307.81 W
2026/04/19 17:03:52.686, 69229 MiB, 81920 MiB, 87 %, 305.68 W
2026/04/19 17:03:53.717, 69229 MiB, 81920 MiB, 85 %, 305.96 W
2026/04/19 17:03:54.748, 69229 MiB, 81920 MiB, 88 %, 280.49 W
2026/04/19 17:03:55.780, 69229 MiB, 81920 MiB, 88 %, 304.43 W
2026/04/19 17:03:56.807, 69229 MiB, 81920 MiB, 86 %, 300.52 W
2026/04/19 17:03:57.838, 69229 MiB, 81920 MiB, 86 %, 273.79 W
2026/04/19 17:03:58.865, 69229 MiB, 81920 MiB, 87 %, 281.09 W
2026/04/19 17:03:59.894, 69229 MiB, 81920 MiB, 87 %, 298.11 W
2026/04/19 17:04:00.923, 69229 MiB, 81920 MiB, 88 %, 285.62 W
2026/04/19 17:04:01.957, 69229 MiB, 81920 MiB, 86 %, 293.85 W
2026/04/19 17:04:02.984, 69229 MiB, 81920 MiB, 86 %, 309.33 W
2026/04/19 17:04:04.010, 69229 MiB, 81920 MiB, 87 %, 297.45 W
2026/04/19 17:04:05.040, 69229 MiB, 81920 MiB, 88 %, 294.12 W
2026/04/19 17:04:06.067, 69229 MiB, 81920 MiB, 88 %, 302.95 W
2026/04/19 17:04:07.094, 69229 MiB, 81920 MiB, 87 %, 277.44 W
2026/04/19 17:04:08.121, 69229 MiB, 81920 MiB, 89 %, 287.74 W
2026/04/19 17:04:09.155, 69229 MiB, 81920 MiB, 86 %, 306.88 W
2026/04/19 17:04:10.181, 69229 MiB, 81920 MiB, 87 %, 311.46 W
2026/04/19 17:04:11.206, 69229 MiB, 81920 MiB, 87 %, 311.46 W
2026/04/19 17:04:12.233, 69229 MiB, 81920 MiB, 87 %, 286.22 W
2026/04/19 17:04:13.259, 69229 MiB, 81920 MiB, 87 %, 294.72 W
2026/04/19 17:04:14.286, 69229 MiB, 81920 MiB, 87 %, 297.18 W
2026/04/19 17:04:15.316, 69229 MiB, 81920 MiB, 85 %, 314.46 W
2026/04/19 17:04:16.343, 69229 MiB, 81920 MiB, 87 %, 292.60 W
2026/04/19 17:04:17.371, 69229 MiB, 81920 MiB, 85 %, 301.43 W
2026/04/19 17:04:18.398, 69229 MiB, 81920 MiB, 87 %, 306.28 W
2026/04/19 17:04:19.425, 69229 MiB, 81920 MiB, 87 %, 292.60 W
2026/04/19 17:04:20.456, 69229 MiB, 81920 MiB, 90 %, 303.83 W
2026/04/19 17:04:21.482, 69229 MiB, 81920 MiB, 92 %, 316.64 W
